year,track_id,track_name,artist_name,album_name,plays,total_minutes,skip_rate,shuffle_rate,has_features,genre,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2017,5uplevkaUGRLExATEbSQiR,Someday,The Growlers,Hung At Heart,160,353.08,0.2625,0.3062,True,Indie,48,0.953,0.402,215780,0.772,0.86,A#,0.172,-4.578,Major,0.0394,156.116,4/4,0.748
2017,2b9D3N4pnBUbYXVi7vbWy4,Living In A Memory,The Growlers,Hung At Heart,136,356.73,0.1618,0.5956,True,Indie,45,0.188,0.416,195530,0.668,0.637,D,0.728,-4.865,Major,0.0281,85.357,4/4,0.793
2017,2N4idqj9TT3HnH2OFT9j0v,Still Beating,Mac DeMarco,This Old Dog,123,289.81,0.1951,0.4797,True,Indie,67,0.581,0.709,181587,0.496,0.195,C#,0.151,-10.528,Minor,0.0417,78.477,4/4,0.469
2017,6YQeOwMMAkB9MV9yMWmrjh,Threat of Joy,The Strokes,Future Present Past,114,292.36,0.307,0.4649,True,Indie,65,0.216,0.594,264662,0.728,0.0881,C,0.124,-6.917,Major,0.0281,137.97,4/4,0.687
2017,5n0CTysih20NYdT2S0Wpe8,Trouble,Cage The Elephant,Tell Me I'm Pretty,110,255.58,0.3636,0.1636,True,Indie,72,0.392,0.47,225973,0.623,0.000453,C,0.0992,-5.655,Major,0.0302,77.861,4/4,0.298
2017,4BOHngI1gLDA5OZFTZVAHl,One Million Lovers,The Growlers,Hung At Heart,104,227.83,0.3846,0.2212,True,Rock,54,0.713,0.5,282739,0.723,0.00107,F,0.107,-5.07,Minor,0.0322,101.97,4/4,0.677
2017,6dU5RxthbuaN31bRbEDlNw,Everlasting Light,The Black Keys,Brothers,101,273.65,0.1881,0.198,True,Rock,59,0.127,0.641,203773,0.582,0.00632,E,0.354,-6.554,Major,0.0483,181.039,4/4,0.725
2017,08l9WKDuRyGeStQ9ojTlFh,Meet Me in the Bathroom,The Strokes,Room On Fire,100,190.9,0.34,0.14,True,Children’s Music,47,6.7e-05,0.426,176160,0.94,0.883,G,0.0772,-3.973,Major,0.0337,139.952,4/4,0.595
2017,17jEoYoOfRD6dvNCMmC9n4,City Club,The Growlers,City Club,100,214.67,0.34,0.12,True,Rock,59,0.00445,0.717,196673,0.77,1.79e-06,G,0.214,-6.083,Major,0.0268,110.501,4/4,0.739
2017,57Xjny5yNzAcsxnusKmAfA,Reptilia,The Strokes,Room On Fire,100,185.31,0.42,0.17,True,Indie,71,0.000563,0.486,219754,0.666,0.789,A,0.101,-5.084,Major,0.033,157.992,4/4,0.741
2017,43O3Iu8mDJy10i6k8SVRXX,Take It or Leave It,Cage The Elephant,Melophobia,99,254.48,0.1717,0.3131,True,Rock,57,0.0289,0.71,207320,0.847,0.000332,C,0.0613,-3.009,Major,0.0892,119.943,4/4,0.65
2017,7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,Is This It,97,154.93,0.3918,0.3814,True,Children’s Music,68,0.00425,0.538,183440,0.52,0.0,A,0.367,-7.46,Major,0.0299,106.031,4/4,0.678
2017,2HWFdHcyJAipiBNMoq0olx,Black Memories,The Growlers,Chinese Fountain,96,194.34,0.1979,0.1979,True,Indie,52,0.00625,0.614,171400,0.577,0.0,C,0.152,-8.012,Major,0.0285,113.948,4/4,0.835
2017,0BQH5uHglCuHVImyCjOOHc,Unknown Brother,The Black Keys,Brothers,91,274.42,0.2967,0.044,True,Indie,48,0.466,0.5,239693,0.552,0.00221,A,0.108,-7.888,Major,0.0413,83.81,4/4,0.209
2017,6gU7ohksNd6LsEJMWfDRhp,Soma,The Strokes,Is This It,91,164.51,0.2637,0.3956,True,Rock,53,0.0747,0.499,153840,0.706,0.00289,C,0.0753,-7.335,Major,0.0302,148.931,4/4,0.483
2017,3kKb3U3a8jmUJQB9ypE1Jl,Under Control,The Strokes,Room On Fire,90,193.79,0.2,0.2111,True,Indie,53,0.341,0.401,187153,0.723,0.775,C#,0.0543,-4.651,Major,0.0291,90.596,4/4,0.66
2017,5KupfEBaVJwL7D2ZN0n1Q1,Trying Your Luck,The Strokes,Is This It,90,240.42,0.1556,0.4222,True,Children’s Music,50,0.00855,0.503,202760,0.689,0.0126,A,0.131,-9.424,Minor,0.0313,143.906,4/4,0.615
2017,3xuRKGbalblooPG3Fojb4Y,Late Bloomers,The Growlers,Late Bloomers,89,337.25,0.1124,0.1124,True,Indie,46,0.00818,0.586,236565,0.703,1.23e-06,A,0.107,-6.386,Major,0.0409,145.148,4/4,0.806
2017,21Ay8Y9Pr91nSauPGtK6MW,Barely Legal,The Strokes,Is This It,88,192.14,0.3068,0.4091,True,Rock,55,0.00326,0.426,234693,0.884,0.0495,C,0.0903,-6.279,Major,0.0365,157.811,4/4,0.852
2017,0JxNCIvcLphN1oAafpvDWW,I'll Be Around,The Growlers,City Club,87,176.09,0.3448,0.1954,True,Rock,57,0.000833,0.475,287086,0.899,1.1e-06,C#,0.19,-3.347,Minor,0.056,92.101,4/4,0.911
2017,0SGkqnVQo9KPytSri1H6cF,Bounce Back,Big Sean,I Decided.,86,151.93,0.3372,0.1512,True,Hip-Hop,79,0.105,0.77,222360,0.567,0.0,D,0.125,-5.698,Major,0.175,81.477,4/4,0.26
2017,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,86,208.14,0.314,0.4302,True,Rock,84,0.186,0.548,272394,0.532,0.000263,F,0.217,-7.596,Major,0.0323,85.03,4/4,0.405
2017,3PaeOar0UeLiyigqJfNAfN,Wednesday,Good Morning,Shawcross,85,152.93,0.2471,0.5176,True,Indie,49,0.325,0.579,143468,0.58,0.0206,F#,0.106,-8.882,Minor,0.0246,76.029,4/4,0.734
2017,1420BGhbXGkIJtbtBlfpYE,The Modern Age,The Strokes,Is This It,83,187.84,0.3012,0.3976,True,Rock,56,0.0116,0.528,208067,0.888,0.762,D,0.154,-6.039,Major,0.0326,145.971,4/4,0.897
2017,3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,alt-J,An Awesome Wave,82,173.58,0.3537,0.0122,True,Indie,71,0.096,0.616,227080,0.656,0.000879,F,0.205,-7.298,Major,0.0344,150.071,4/4,0.286
2017,5M1TnHDDigSFAEK5U8euc3,Chinese Fountain,The Growlers,Chinese Fountain,81,182.64,0.3704,0.1358,True,Indie,48,0.00303,0.608,245707,0.804,0.118,F,0.193,-8.262,Minor,0.0311,116.022,4/4,0.851
2017,6mVD1SfTvlFAPVi7txFL5H,Machu Picchu,The Strokes,Angles,81,162.32,0.3457,0.4321,True,Indie,63,0.0133,0.695,209627,0.814,0.0984,C#,0.0601,-5.294,Major,0.066,105.011,4/4,0.882
2017,2AT8iROs4FQueDv2c8q2KE,R U Mine?,Arctic Monkeys,AM,80,142.63,0.2625,0.425,True,Rock,79,0.00616,0.288,201726,0.758,0.0,F#,0.303,-5.692,Minor,0.0371,97.094,4/4,0.619
2017,3LkxF4JpVLJJcVuM55bXvR,Beach Rats,The Growlers,Hung At Heart,80,170.06,0.35,0.3375,True,Indie,45,0.844,0.409,250144,0.655,0.395,D#,0.107,-5.466,Minor,0.0297,75.266,3/4,0.608
2017,58ge6dfP91o9oXMzq3XkIS,505,Arctic Monkeys,Favourite Worst Nightmare,79,144.25,0.3924,0.2278,True,Indie,63,0.00237,0.52,253587,0.852,5.79e-05,C,0.0733,-5.866,Major,0.0543,140.267,4/4,0.234
2017,3SUusuA9jH1v6PVwtYMbdv,Last Nite,The Strokes,Is This It,77,158.69,0.2857,0.4286,True,Rock,70,0.0223,0.624,193373,0.899,0.000155,C,0.0975,-5.71,Major,0.0295,104.055,4/4,0.797
2017,3d8y0t70g7hw2FOWl9Z4Fm,Ophelia,The Lumineers,Cleopatra,77,147.99,0.1948,0.4026,True,Rock,70,0.613,0.664,160097,0.573,0.000363,F,0.0857,-6.519,Major,0.0277,76.023,4/4,0.566
2017,086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,76,148.45,0.25,0.2632,True,Rock,78,0.0483,0.691,161124,0.631,1.13e-05,D,0.104,-6.478,Major,0.0368,92.004,4/4,0.8
2017,7qHBtTdpBLRUQGQxshfRd2,Big Toe,The Growlers,Chinese Fountain,76,106.12,0.3684,0.1579,True,Rock,49,0.0102,0.51,151719,0.766,3.21e-05,E,0.0673,-5.812,Minor,0.0278,132.169,4/4,0.727
2017,2jZgzSxNSg1hTCq0ewWHGJ,Junk Of The Heart (Happy),The Kooks,Junk Of The Heart,75,129.88,0.32,0.16,True,Indie,66,0.0212,0.604,187253,0.894,0.0,D,0.0299,-5.0,Major,0.037,145.014,4/4,0.901
2017,5MZBOcqI3Vpvp2PZy6ddyD,The Way It Is,The Strokes,Room On Fire,74,113.07,0.3108,0.3108,True,Alternative,41,0.000179,0.481,141502,0.943,0.865,B,0.0985,-2.592,Major,0.0495,137.091,4/4,0.877
2017,0seTertVGvHrEJu7hlIWRq,Take It Or Leave It,The Strokes,Is This It,73,145.39,0.3014,0.4932,True,Rock,49,0.000959,0.43,196067,0.913,0.369,D,0.137,-6.203,Minor,0.0389,154.066,4/4,0.481
2017,6QgPBFvt3r9LeZDL5YsgJO,Pet Shop Eyes,The Growlers,Hung At Heart,73,128.68,0.3699,0.4795,True,Indie,45,0.412,0.463,213600,0.839,0.497,F,0.686,-2.971,Major,0.0342,115.7,4/4,0.852
2017,01MO5Ib9mCG7srUhZl52BA,Going Gets Tough,The Growlers,Chinese Fountain,71,130.5,0.3662,0.1408,True,Indie,59,0.219,0.5,208613,0.766,0.0,G#,0.109,-6.258,Major,0.0327,162.058,4/4,0.738
2017,2LGdO5MtFdyphi2EihANZG,Knee Socks,Arctic Monkeys,AM,71,157.68,0.338,0.338,True,Indie,69,0.123,0.665,257563,0.542,0.00291,B,0.342,-8.323,Minor,0.033,97.975,4/4,0.587
2017,5OmumaYiHYXUsYZPGLFTYJ,Between Love & Hate,The Strokes,Room On Fire,71,120.48,0.4225,0.0986,True,Children’s Music,47,5.35e-05,0.453,196348,0.61,0.545,A,0.101,-4.935,Major,0.0254,104.188,4/4,0.525
2017,0jBE7Fn78EAvmIs3dCd6GO,Is This It,The Strokes,Is This It,70,77.45,0.5286,0.4857,True,Indie,58,0.147,0.667,151333,0.692,3.75e-05,F,0.349,-8.361,Major,0.0285,96.021,4/4,0.846
2017,6SdAztAqklk1zAmUHhU4N7,Taken for a Fool,The Strokes,Angles,70,183.13,0.3143,0.3286,True,Children’s Music,57,0.00595,0.57,203240,0.89,0.0112,F,0.226,-4.447,Major,0.0559,137.04,4/4,0.885
2017,3b1IQflSLrgzYQPGFzI9cl,Es Por Ti,Juanes,Un Día Normal,68,185.21,0.2206,0.3382,True,Dance,72,0.203,0.706,250693,0.753,3.04e-05,E,0.184,-6.088,Major,0.0259,129.968,4/4,0.849
2017,6u0x5ad9ewHvs3z6u9Oe3c,Under Cover of Darkness,The Strokes,Angles,68,130.92,0.3824,0.2794,True,Rock,68,0.00419,0.357,235547,0.775,0.285,B,0.0676,-3.364,Major,0.054,199.853,4/4,0.589
2017,2lffRiAET2Xt6BNb4EmkS2,80's Comedown Machine,The Strokes,Comedown Machine,67,179.0,0.2985,0.2239,True,Indie,54,0.00583,0.488,298613,0.503,0.809,C,0.101,-8.89,Major,0.0326,144.035,4/4,0.38
2017,5b4NWxJgdM4EkCrsnFK7m3,Naked Kids,The Growlers,Hung At Heart,66,137.75,0.3939,0.2576,True,Indie,45,0.662,0.379,231396,0.649,0.653,D,0.422,-5.316,Minor,0.0334,117.79,4/4,0.328
2017,3FtYbEfBqAlGO46NUDQSAt,Electric Feel,MGMT,Oracular Spectacular,65,115.17,0.3846,0.1077,True,Indie,77,0.0714,0.763,229640,0.807,0.28,C#,0.348,-3.714,Major,0.035,103.038,3/4,0.559
2017,7eqoqGkKwgOaWNNHx90uEZ,Nights,Frank Ocean,Blonde,64,134.95,0.2969,0.3281,True,Hip-Hop,78,0.42,0.466,307151,0.548,1.01e-06,F,0.113,-9.362,Minor,0.118,89.815,4/4,0.423
2017,0OM9ri37LIbPc9hffwsyb1,Hard To Explain,The Strokes,Is This It,63,149.15,0.3175,0.5079,True,Rock,60,0.000456,0.408,224333,0.665,0.863,G,0.0888,-6.286,Major,0.0578,82.525,4/4,0.667
2017,0SsOtRt4U3eicmUHPBfIHf,Turnaround,Hans Zimmer,The Little Prince (Original Motion Picture Soundtrack),62,138.81,0.1935,0.6935,True,Soundtrack,33,0.769,0.632,206507,0.19,1.06e-05,C,0.395,-16.4,Major,0.0383,78.052,4/4,0.559
2017,0dy6iXYIF0piirySAzCBwF,The End Has No End,The Strokes,Room On Fire,62,98.98,0.4516,0.2258,True,Indie,53,0.000799,0.536,185435,0.655,0.832,C#,0.229,-3.713,Major,0.0336,136.006,4/4,0.552
2017,2iCzZEPF8GTfQ1v4WCi7De,The Daisy Chain,The Growlers,City Club,62,116.41,0.2742,0.2419,True,Rock,50,0.00258,0.496,225087,0.819,0.00109,C,0.179,-4.714,Major,0.0323,123.004,4/4,0.703
2017,3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma",The Strokes,Comedown Machine,61,142.52,0.1967,0.1967,True,Rock,63,0.983,0.544,204773,0.241,0.774,E,0.101,-14.779,Minor,0.03,109.437,4/4,0.359
2017,78Gzxi27GuNHTfkn2BylG4,What Ever Happened?,The Strokes,Room On Fire,61,82.09,0.4918,0.1803,True,Children’s Music,56,9.67e-05,0.547,169273,0.599,0.679,B,0.229,-6.057,Major,0.0344,116.165,4/4,0.587
2017,4UmJMAY5TqXPAnsDW1Mci7,"Alone, Together",The Strokes,Is This It,60,112.23,0.35,0.5,True,Children’s Music,50,0.00778,0.515,188640,0.863,0.896,G,0.0616,-5.756,Major,0.0308,143.017,4/4,0.961
2017,6lnnaGN20kl0jEYJSxCgU9,You Talk Way Too Much,The Strokes,Room On Fire,59,77.72,0.5254,0.1525,True,Children’s Music,47,0.0625,0.308,186038,0.971,0.938,E,0.0806,-3.23,Major,0.0344,128.204,4/4,0.659
2017,7ygO2E3yfwZVYbzaPdGzed,Guru,Coast Modern,Guru,59,104.35,0.2881,0.1356,True,Indie,64,0.232,0.76,204467,0.701,0.00295,D#,0.07,-6.393,Major,0.042,140.023,4/4,0.81
2017,0Fv5N0cHBsl4bzCbollCAS,Moves,Big Sean,I Decided.,58,61.6,0.4483,0.1207,True,Rap,70,0.0541,0.789,142907,0.53,0.0,D,0.164,-6.2,Major,0.293,75.515,4/4,0.367
2017,3iiObSfkcBsETljmSB4Hcs,When It Started,The Strokes,Is This It,58,107.03,0.2759,0.5345,True,Rock,49,0.265,0.722,175200,0.654,0.00392,C,0.15,-8.107,Major,0.0328,131.962,4/4,0.904
2017,6L8Ic6HJHrAqwObG3wuaLT,Rare Hearts,The Growlers,Chinese Fountain,58,188.43,0.1897,0.2931,True,Rock,57,0.026,0.601,284587,0.652,0.0589,G,0.274,-6.723,Major,0.027,120.498,4/4,0.61
2017,3zQJdKcFjiHEz7Xqum4bom,Black Widow,Cage The Elephant,Melophobia,57,131.49,0.193,0.2281,True,Indie,46,0.0151,0.419,187187,0.895,0.0,F#,0.117,-0.747,Minor,0.0497,127.269,4/4,0.718
2017,4qjqO5m5e5vebk9upd7xUU,Never Gonna Give You Up,The Black Keys,Brothers,57,134.05,0.2456,0.0,True,Rock,51,0.324,0.557,218987,0.665,0.000281,F#,0.0713,-6.19,Minor,0.0328,75.805,4/4,0.437
2017,71bWpBImqNaLjIvfV50Hsa,Love Test,The Growlers,Chinese Fountain,57,164.67,0.2456,0.2105,True,Indie,52,0.00755,0.65,249267,0.728,0.000446,D,0.353,-7.27,Major,0.0263,114.984,4/4,0.742
2017,78J9MBkAoqfvyeEpQKJDzD,Step,Vampire Weekend,Modern Vampires of the City,57,168.93,0.2105,0.1404,True,Rock,67,0.591,0.624,251627,0.724,7.79e-06,A#,0.101,-7.113,Major,0.101,78.008,4/4,0.624
2017,26ZnmGlPGXaOzPDydAP9D5,She's Long Gone,The Black Keys,Brothers,56,157.67,0.2143,0.0357,True,Indie,52,0.0361,0.349,186000,0.866,0.0406,B,0.216,-6.676,Minor,0.112,167.951,4/4,0.488
2017,6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,Currents,56,69.29,0.5357,0.1786,True,Rock,82,0.0115,0.64,216320,0.74,0.00678,E,0.167,-4.083,Major,0.0284,116.879,4/4,0.785
2017,7KmawNv6JUgZ54gSyVF6VQ,Let Her Go,Mac DeMarco,Salad Days,56,115.18,0.25,0.4286,True,Indie,59,0.00512,0.594,182607,0.663,0.123,F#,0.162,-7.588,Major,0.0292,111.123,4/4,0.806
2017,7eX5SypK35V8Y9d9pS6rWy,I Can't Win,The Strokes,Room On Fire,56,110.29,0.2321,0.1786,True,Children’s Music,47,0.00492,0.473,161100,0.745,0.634,B,0.105,-4.819,Major,0.0321,97.449,4/4,0.405
